line_description,spend_amount,gl_description,invoice_date,creation_date,company,cost_center,memo,canonical_supplier_name,classification_path,classification_l1,classification_l2,classification_l3,classification_status,classification_reasoning
remodeling,0.0,2100:accounts payable,2022-11-01,2022-11-07,le0106 premier physician holdings llc,[blank],remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,17025.67,1750:fixed assets - construction in process,2022-11-01,2022-11-07,le0106 premier physician holdings llc,[blank],remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,0.0,6600:repair & maintenance,2022-11-01,2022-11-07,le0106 premier physician holdings llc,clinics operations & support,remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,17025.67,6600:repair & maintenance,2022-11-01,2022-11-07,le0106 premier physician holdings llc,clinics operations & support,remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,12537.11,1750:fixed assets - construction in process,2022-11-01,2022-11-07,le0106 premier physician holdings llc,[blank],remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,0.0,6600:repair & maintenance,2022-11-01,2022-11-07,le0106 premier physician holdings llc,clinics operations & support,remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,12537.11,6600:repair & maintenance,2022-11-01,2022-11-07,le0106 premier physician holdings llc,clinics operations & support,remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
remodeling,0.0,2100:accounts payable,2022-11-01,2022-11-07,le0106 premier physician holdings llc,[blank],remodeling,total home renovations llc,non clinical|construction services|contractors,non clinical,construction services,contractors,classified_by_ai,"All transactions are related to remodeling services provided by Total Home Renovations LLC, which specializes in home remodeling and renovation. The supplier's focus on construction aligns with the contractors category in the taxonomy."
adjustment,323.55,6725:telecommunications,2022-04-01,2022-05-09,"le0029 st. cloud physician group, llc",clinics operations & support_ofp80,"internet, voice , fiber internet - acct#0050267044-01",charter communications,non clinical|telecom|voice and data services,non clinical,telecom,voice and data services,classified_by_ai,"All transactions are associated with Charter Communications, a telecommunications company providing internet and voice services. The spend amounts and descriptions align with the voice and data services category, while the zero amounts are classified as non-sourceable due to lack of specific context."
adjustment,599.0,6725:telecommunications,2022-04-01,2022-05-09,"le0029 st. cloud physician group, llc",clinics operations & support_ofp80,"internet, voice , fiber internet - acct#0050267044-01",charter communications,non clinical|telecom|voice and data services,non clinical,telecom,voice and data services,classified_by_ai,"All transactions are associated with Charter Communications, a telecommunications company providing internet and voice services. The spend amounts and descriptions align with the voice and data services category, while the zero amounts are classified as non-sourceable due to lack of specific context."
"lab coats, gowns",35.28,6350:other expenses,2022-06-15,2022-06-17,"le0025 curry ford physician group, llc",clinics operations & support_ofp76,"lab coats, gowns",cintas corporation,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"The transactions involve purchases of lab coats, gowns, and janitorial supplies from Cintas Corporation, which specializes in uniforms and facility services. The classification aligns with the supplier's offerings and the nature of the items purchased, which are categorized under uniforms and janitorial supplies in the taxonomy."
"lab coats, gowns",0.0,2100:accounts payable,2022-06-15,2022-06-17,"le0025 curry ford physician group, llc",[blank],"lab coats, gowns",cintas corporation,non clinical|mro supplies|uniforms,non clinical,mro supplies,uniforms,classified_by_ai,"The transactions involve purchases of lab coats, gowns, and janitorial supplies from Cintas Corporation, which specializes in uniforms and facility services. The classification aligns with the supplier's offerings and the nature of the items purchased, which are categorized under uniforms and janitorial supplies in the taxonomy."
